Date,Day,Video #,Videolink,Video Length,Timestamp,Timelink,Tag,Action,Attempt,Level,Result Level,Coins,Coins Balance,Spring,Spring Balance,Vacuum,Vacuum Balance,Fan,Fan Balance,Icegun,Icegun Balance,Firework,Firework Balance,Hourglass,Hourglass Balance,Coins in $,Boosters in $,Coins in $ + Boosters in $
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:01,0:00:01,Loading,Start,,,,100,100,,0,,0,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:11,0:00:11,Level,Start,,1,,,100,,0,,0,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:27,0:00:27,Level,Finish,1,1,Win,,100,,0,,0,,0,,0,,0,,0,1.99,0.00,1.99
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:31,0:00:31,Level,Start,,2,,,100,,0,,0,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:47,0:00:47,Level,Finish,2,2,Win,,100,,0,,0,,0,,0,,0,,0,1.99,0.00,1.99
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:00:57,0:00:57,Menu,Unlock booster,,2,,,100,,0,3,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:01:19,0:01:19,Level,Start,,3,,,100,,0,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:01:24,0:01:24,Level,Use,,3,,,100,,0,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:01:45,0:01:45,Level,Finish,3,3,Win,,100,,0,,3,,0,,0,,0,,0,1.99,5.77,7.76
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:01:58,0:01:58,Level,Start,,4,,,100,,0,,3,,0,,0,,0,,0,,,
