Name,Category1,Category2,Color1,Color2,Shape,Size,,Target Scale
Number0,text,school,red,,circle,small,,0.6
Number1,text,school,orange,,bar,small,,0.6
Number2,text,school,yellow,,flat,small,,0.6
Number3,text,school,green,,flat,small,,0.6
Number4,text,school,blue,,flat,small,,0.6
Number5,text,school,purple,,flat,small,,0.6
Number6,text,school,pink,,flat,small,,0.6
Number7,text,school,green,,flat,small,,0.6
Number8,text,school,grey,,flat,small,,0.6
Number9,text,school,brown,,flat,small,,0.6
TextA,text,school,red,,flat,small,,0.6
TextB,text,school,orange,,flat,small,,0.6
TextC,text,school,yellow,,flat,small,,0.6
TextD,text,school,green,,flat,small,,0.6
TextE,text,school,blue,,flat,small,,0.6
TextF,text,school,purple,,flat,small,,0.6
TextG,text,school,pink,,flat,small,,0.6
TextH,text,school,green,,flat,small,,0.6
TextI,text,school,grey,,bar,small,,0.6
TextJ,text,school,brown,,flat,small,,0.6
TextK,text,school,red,,flat,small,,0.6
TextL,text,school,orange,,flat,small,,0.6
TextM,text,school,yellow,,flat,small,,0.6
TextN,text,school,green,,flat,small,,0.6
TextO,text,school,blue,,circle,small,,0.6
TextP,text,school,purple,,flat,small,,0.6
TextQ,text,school,pink,,circle,small,,0.6
TextR,text,school,green,,flat,small,,0.6
TextS,text,school,grey,,flat,small,,0.6
TextT,text,school,brown,,flat,small,,0.6
TextU,text,school,red,,flat,small,,0.6
TextV,text,school,orange,,flat,small,,0.6
TextW,text,school,yellow,,flat,small,,0.6
TextX,text,school,green,,flat,small,,0.6
TextY,text,school,blue,,flat,small,,0.6
TextZ,text,school,purple,,flat,small,,0.6
AppleGreen,fruit,bakery,green,,sphere,medium,,1.5
AppleRed,fruit,bakery,red,,sphere,medium,,1.5
AppleYellow,fruit,bakery,yellow,,sphere,medium,,1.5
Avocado,fruit,junkfood,green,,curved,medium,,1.6
Banana,fruit,bakery,yellow,,bar,medium,,2.3
Carrot,fruit,junkfood,orange,,bar,medium,,2
Cherry,fruit,bakery,red,,sphere,small,,1.5
Coconut,fruit,bakery,brown,white,sphere,large,,2
Corn,fruit,junkfood,yellow,green,cylinder,medium,,1.9
GrapeGreen,fruit,bakery,green,,sphere,large,,2.6
GrapePurple,fruit,bakery,purple,,sphere,large,,2.6
GrapeRed,fruit,bakery,red,,sphere,large,,2.6
GrapeYellow,fruit,bakery,yellow,,sphere,large,,2.6
Kiwi,fruit,bakery,brown,green,sphere,small,,1.1
Lemon,fruit,bakery,yellow,,sphere,small,,1.3
Orange,fruit,bakery,orange,,sphere,medium,,1.6
PearGreen,fruit,bakery,green,,curved,medium,,1.8
PearYellow,fruit,bakery,yellow,,curved,medium,,1.8
PepperGreen,fruit,junkfood,green,,bar,small,,2
PepperRed,fruit,junkfood,red,,bar,small,,2
PepperYellow,fruit,junkfood,yellow,,bar,small,,2
Pumpkin,fruit,junkfood,orange,,sphere,large,,2.5
Strawberry,fruit,bakery,red,,curved,small,,1.4
Tomato,fruit,junkfood,red,,sphere,small,,1.3
Watermelon,fruit,bakery,red,green,flat,medium,,1.9
AutoPolice,vehicles,electronic,blue,,sharp,large,,2.3
AutoTaxi,vehicles,electronic,yellow,,sharp,large,,2.3
BikeBlue,vehicles,school,blue,black,mix,small,,1.7
BikeGreen,vehicles,school,green,black,mix,small,,1.7
BikeOrange,vehicles,school,orange,black,mix,small,,1.7
BikePink,vehicles,school,pink,black,mix,small,,1.7
BikePurple,vehicles,school,purple,black,mix,small,,1.7
BikeRed,vehicles,school,red,black,mix,small,,1.7
BikeYellow,vehicles,school,yellow,black,mix,small,,1.7
BoatBlue,vehicles,toy,blue,white,curved,large,,2
BoatGreen,vehicles,toy,green,white,curved,large,,2
BoatGrey,vehicles,toy,grey,white,curved,large,,2
BoatOrange,vehicles,toy,orange,white,curved,large,,2
BoatPink,vehicles,toy,pink,white,curved,large,,2
BoatPurple,vehicles,toy,purple,white,curved,large,,2
BoatRed,vehicles,toy,red,white,curved,large,,2
BoatYellow,vehicles,toy,yellow,white,curved,large,,2
CarBlue,vehicles,toy,blue,,curved,small,,1.9
CarGreen,vehicles,toy,green,,curved,small,,1.9
CarOrange,vehicles,toy,orange,,curved,small,,1.9
CarPurple,vehicles,toy,purple,,curved,small,,1.9
CarRed,vehicles,toy,red,,curved,small,,1.9
CarYellow,vehicles,toy,yellow,,curved,small,,1.9
ForkliftBlue,vehicles,cubic,blue,grey,sharp,large,,2
ForkliftGreen,vehicles,cubic,green,grey,sharp,large,,2
ForkliftPink,vehicles,cubic,pink,grey,sharp,large,,2
ForkliftPurple,vehicles,cubic,purple,grey,sharp,large,,2
ForkliftYellow,vehicles,cubic,yellow,grey,sharp,large,,2
HelicopterAllColors,vehicles,electronic,colorful,yellow,mix,medium,,2.3
HelicopterBlue,vehicles,electronic,blue,yellow,mix,medium,,2.3
HelicopterGreen,vehicles,electronic,green,yellow,mix,medium,,2.3
HelicopterGrey,vehicles,electronic,grey,yellow,mix,medium,,2.3
HelicopterPink,vehicles,electronic,pink,yellow,mix,medium,,2.3
HelicopterPurple,vehicles,electronic,purple,yellow,mix,medium,,2.3
HotAirBalloonCloversGreen,vehicles,toy,green,,sphere,large,,2.5
HotAirBalloonDotsBlue,vehicles,toy,blue,white,sphere,large,,2.5
HotAirBalloonHeartsRed,vehicles,toy,red,white,sphere,large,,2.5
HotAirBalloonStarsYellow,vehicles,toy,yellow,,sphere,large,,2.5
HotAirBalloonStripedBlue,vehicles,toy,blue,,sphere,large,,2.5
HotAirBalloonStripedGreen,vehicles,toy,green,,sphere,large,,2.5
HotAirBalloonStripedOrange,vehicles,toy,orange,,sphere,large,,2.5
HotAirBalloonStripedPurple,vehicles,toy,purple,,sphere,large,,2.5
HotAirBalloonStripedRed,vehicles,toy,red,,sphere,large,,2.5
HotAirBalloonStripedYellow,vehicles,toy,yellow,,sphere,large,,2.5
MonsterTruckBlue,vehicles,electronic,blue,black,sharp,large,,2.3
MonsterTruckGreen,vehicles,electronic,green,black,sharp,large,,2.3
MonsterTruckGrey,vehicles,electronic,grey,black,sharp,large,,2.3
MonsterTruckOrange,vehicles,electronic,orange,black,sharp,large,,2.3
MonsterTruckPink,vehicles,electronic,pink,black,sharp,large,,2.3
MonsterTruckPurple,vehicles,electronic,purple,black,sharp,large,,2.3
MonsterTruckRed,vehicles,electronic,red,black,sharp,large,,2.3
MonsterTruckYellow,vehicles,electronic,yellow,black,sharp,large,,2.3
PlaneBlue,vehicles,electronic,blue,white,curved,medium,,2.4
PlaneGreen,vehicles,electronic,green,white,curved,medium,,2.4
PlaneOrange,vehicles,electronic,orange,white,curved,medium,,2.4
PlanePink,vehicles,electronic,pink,white,curved,medium,,2.4
PlanePurple,vehicles,electronic,purple,white,curved,medium,,2.4
PlaneRed,vehicles,electronic,red,white,curved,medium,,2.4
PlaneYellow,vehicles,electronic,yellow,white,curved,medium,,2.4
RocketBlue,vehicles,toy,blue,yellow,curved,medium,,2.1
RocketRed,vehicles,toy,red,colorful,curved,medium,,2.1
ScooterBlue,vehicles,school,blue,black,mix,small,,1.7
ScooterGreen,vehicles,school,green,black,mix,small,,1.7
ScooterOrange,vehicles,school,orange,black,mix,small,,1.7
ScooterPink,vehicles,school,pink,black,mix,small,,1.7
ScooterPurple,vehicles,school,purple,black,mix,small,,1.7
ScooterRed,vehicles,school,red,black,mix,small,,1.7
ScooterYellow,vehicles,school,yellow,black,mix,small,,1.7
ShipBlue,vehicles,toy,blue,grey,curved,large,,2.4
ShipGreen,vehicles,toy,green,grey,curved,large,,2.4
ShipPurple,vehicles,toy,purple,grey,curved,large,,2.4
ShipRed,vehicles,toy,red,grey,curved,large,,2.4
ShipYellow,vehicles,toy,yellow,grey,curved,large,,2.4
SkateboardBlue,vehicles,school,blue,black,flat,small,,2
SkateboardGreen,vehicles,school,green,black,flat,small,,2
SkateboardOrange,vehicles,school,orange,black,flat,small,,2
SkateboardPurple,vehicles,school,purple,black,flat,small,,2
SkateboardRed,vehicles,school,red,black,flat,small,,2
SkateboardYellow,vehicles,school,yellow,black,flat,small,,2
TrainBlue,vehicles,electronic,blue,,sharp,large,,2.2
TrainGreen,vehicles,electronic,green,,sharp,large,,2.2
TrainOrange,vehicles,electronic,orange,,sharp,large,,2.2
TrainPink,vehicles,electronic,pink,,sharp,large,,2.2
TrainPurple,vehicles,electronic,purple,,sharp,large,,2.2
TrainRed,vehicles,electronic,red,,sharp,large,,2.2
TrainAllColors,vehicles,electronic,colorful,,sharp,large,,2.2
UfoBlue,vehicles,electronic,blue,grey,mix,medium,,1.9
UfoGreen,vehicles,electronic,green,grey,mix,medium,,1.9
UfoOrange,vehicles,electronic,orange,grey,mix,medium,,1.9
UfoPink,vehicles,electronic,pink,grey,mix,medium,,1.9
UfoPurple,vehicles,electronic,purple,grey,mix,medium,,1.9
UfoRed,vehicles,electronic,red,grey,mix,medium,,1.9
UfoYellow,vehicles,electronic,yellow,grey,mix,medium,,1.9
BellBlue,music,school,blue,,curved,small,,1.2
BellGreen,music,school,green,,curved,small,,1.2
BellGrey,music,school,grey,,curved,small,,1.2
BellOrange,music,school,orange,,curved,small,,1.2
BellPink,music,school,pink,,curved,small,,1.2
BellPurple,music,school,purple,,curved,small,,1.2
BellRed,music,school,red,,curved,small,,1.2
BellYellow,music,school,yellow,,curved,small,,1.2
DiscoBallBlue,music,game,blue,,sphere,large,,1.9
DiscoBallGreen,music,game,green,,sphere,large,,1.9
DiscoBallGrey,music,game,grey,,sphere,large,,1.9
DiscoBallOrange,music,game,orange,,sphere,large,,1.9
DiscoBallPurple,music,game,purple,,sphere,large,,1.9
DiscoBallRed,music,game,red,,sphere,large,,1.9
DrumBlue,music,school,blue,white,circle,large,,2.3
DrumGreen,music,school,green,white,circle,large,,2.3
DrumPurple,music,school,purple,white,circle,large,,2.3
DrumYellow,music,school,yellow,white,circle,large,,2.3
EighthNoteBlue,music,text,blue,,flat,small,,1.5
EighthNoteGreen,music,text,green,,flat,small,,1.5
EighthNoteOrange,music,text,orange,,flat,small,,1.5
EighthNotePurple,music,text,purple,,flat,small,,1.5
EighthNotePink,music,text,pink,,flat,small,,1.5
EighthNoteRed,music,text,red,,flat,small,,1.5
EighthNoteYellow,music,text,yellow,,flat,small,,1.5
GuitarBrown,music,school,brown,,curved,large,,3.6
GuitarBlue,music,school,blue,,curved,large,,3.6
GuitarGreen,music,school,green,,curved,large,,3.6
GuitarGrey,music,school,grey,,curved,large,,3.6
GuitarOrange,music,school,orange,,curved,large,,3.6
GuitarPurple,music,school,purple,,curved,large,,3.6
GuitarPink,music,school,pink,,curved,large,,3.6
GuitarRed,music,school,red,,curved,large,,3.6
GuitarYellow,music,school,yellow,,curved,large,,3.6
HarpBrown,music,school,brown,,mix,large,,2.8
HarpGrey,music,school,grey,,mix,large,,2.8
